損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元,"111,000.00","82,422.00",134.67,"63,000.00","82,422.00",76.44,"73,400.00","82,422.00",89.05,      CNY  中国元,"71,200.00","82,422.00",86.38,"88,400.00","82,422.00",107.25,"118,400.00","82,422.00",143.65,      CNY  中国元,"120,200.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, , , , , , , ,"3,000.00", ,*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, ,"6,000.00", , ,"6,000.00", , ,"6,000.00", ,*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, ,"3,000.00", , ,"3,000.00", , ,"6,000.00", ,*     6112698  事業-他貨物地上ｻｰﾋﾞｽ, ,"3,000.00", , , , , ,"4,000.00", 
      CNY  中国元, , , , , , , ,"3,000.00", ,      CNY  中国元, ,"6,000.00", , ,"6,000.00", , ,"6,000.00", ,      CNY  中国元, ,"3,000.00", , ,"3,000.00", , ,"6,000.00", ,      CNY  中国元, ,"3,000.00", , , , , ,"4,000.00", 
**    職員給与(事業),"51,180.43","58,925.00",86.86,"62,785.80","58,925.00",106.55,"63,010.43","58,925.00",106.93,**    職員給与(事業),"153,679.74","106,667.00",144.07,"87,602.01","58,925.00",148.67,"91,408.93","58,925.00",155.13,**    職員給与(事業),"63,861.32", , , , , , , , ,**    職員給与(事業), , , , , , , , , 
*     6114150  事業-海外職員給与,"51,180.43","58,925.00",86.86,"62,785.80","58,925.00",106.55,"63,010.43","58,925.00",106.93,*     6114150  事業-海外職員給与,"153,679.74","106,667.00",144.07,"87,602.01","58,925.00",148.67,"91,408.93","58,925.00",155.13,*     6114150  事業-海外職員給与,"63,861.32", , , , , , , , ,*     6114150  事業-海外職員給与, , , , , , , , , 
      CNY  中国元,"51,180.43","58,925.00",86.86,"62,785.80","58,925.00",106.55,"63,010.43","58,925.00",106.93,      CNY  中国元,"153,679.74","106,667.00",144.07,"87,602.01","58,925.00",148.67,"91,408.93","58,925.00",155.13,      CNY  中国元,"63,861.32", , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    厚生費(事業),"37,600.00","37,984.00",98.99,"37,600.00","37,984.00",98.99,"42,911.67","37,984.00",112.97,**    厚生費(事業),"37,600.00","37,984.00",98.99,"37,818.58","37,984.00",99.56,"47,873.69","37,984.00",126.04,**    厚生費(事業),"48,594.00", , , , , , , , ,**    厚生費(事業), , , , , , , , , 
*     6114401  事業-厚生費, ,100.00, , ,100.00, , ,100.00, ,*     6114401  事業-厚生費, ,100.00, , ,100.00, , ,100.00, ,*     6114401  事業-厚生費,994.00, , , , , , , , ,*     6114401  事業-厚生費, , , , , , , , , 
      CNY  中国元, ,100.00, , ,100.00, , ,100.00, ,      CNY  中国元, ,100.00, , ,100.00, , ,100.00, ,      CNY  中国元,994.00, , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114411  事業-社宅賃借費,"37,600.00","37,600.00",100.00,"37,600.00","37,600.00",100.00,"42,638.00","37,600.00",113.40,*     6114411  事業-社宅賃借費,"37,600.00","37,600.00",100.00,"37,600.00","37,600.00",100.00,"47,600.00","37,600.00",126.60,*     6114411  事業-社宅賃借費,"47,600.00", , , , , , , , ,*     6114411  事業-社宅賃借費, , , , , , , , , 
      CNY  中国元,"37,600.00","37,600.00",100.00,"37,600.00","37,600.00",100.00,"42,638.00","37,600.00",113.40,      CNY  中国元,"37,600.00","37,600.00",100.00,"37,600.00","37,600.00",100.00,"47,600.00","37,600.00",126.60,      CNY  中国元,"47,600.00", , , , , , , , ,      CNY  中国元, , , , , , , , , 
