損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, , , , , , , , , ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, , , , , , , , , ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, ,1400 , , ,1400 , , ,1400 , ,*     6114906  事業-ｸﾘ-ﾆﾝｸﾞ費, ,1400 , , ,1400 , , ,1400 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,1400 , , ,1400 , , ,1400 , ,      CNY  中国元, ,1400 , , ,1400 , , ,1400 , 
**    補修維持費(事業), , , , , , , , , ,**    補修維持費(事業), , , , , , , , , ,**    補修維持費(事業), ,1934 , , ,1934 , , ,1934 , ,**    補修維持費(事業), ,1934 , , ,1934 , , ,1934 , 
*     6115001  事業-補修維持費, , , , , , , , , ,*     6115001  事業-補修維持費, , , , , , , , , ,*     6115001  事業-補修維持費, ,334 , , ,334 , , ,334 , ,*     6115001  事業-補修維持費, ,334 , , ,334 , , ,334 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,334 , , ,334 , , ,334 , ,      CNY  中国元, ,334 , , ,334 , , ,334 , 
*     6115005  事業-ｼｽﾃﾑ補修維持費, , , , , , , , , ,*     6115005  事業-ｼｽﾃﾑ補修維持費, , , , , , , , , ,*     6115005  事業-ｼｽﾃﾑ補修維持費, ,1600 , , ,1600 , , ,1600 , ,*     6115005  事業-ｼｽﾃﾑ補修維持費, ,1600 , , ,1600 , , ,1600 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,1600 , , ,1600 , , ,1600 , ,      CNY  中国元, ,1600 , , ,1600 , , ,1600 , 
**    賃借費(事業), , , , , , , , , ,**    賃借費(事業), , , , , , , , , ,**    賃借費(事業), ,103452 , ,237856 ,103452 ,230 ,70300 ,103452 ,68 ,**    賃借費(事業), ,103452 , , ,103452 , , ,103452 , 
*     6115101  事業-建物賃借費, , , , , , , , , ,*     6115101  事業-建物賃借費, , , , , , , , , ,*     6115101  事業-建物賃借費, ,67152 , ,203856 ,67152 ,304 , ,67152 , ,*     6115101  事業-建物賃借費, ,67152 , , ,67152 , , ,67152 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,67152 , ,203856 ,67152 ,304 , ,67152 , ,      CNY  中国元, ,67152 , , ,67152 , , ,67152 , 
*     6115103  事業-設備機器賃借費, , , , , , , , , ,*     6115103  事業-設備機器賃借費, , , , , , , , , ,*     6115103  事業-設備機器賃借費, ,2300 , , ,2300 , ,2300 ,2300 ,100 ,*     6115103  事業-設備機器賃借費, ,2300 , , ,2300 , , ,2300 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,2300 , , ,2300 , ,2300 ,2300 ,100 ,      CNY  中国元, ,2300 , , ,2300 , , ,2300 , 
*     6115105  事業-車両賃借費, , , , , , , , , ,*     6115105  事業-車両賃借費, , , , , , , , , ,*     6115105  事業-車両賃借費, ,34000 , ,34000 ,34000 ,100 ,68000 ,34000 ,200 ,*     6115105  事業-車両賃借費, ,34000 , , ,34000 , , ,34000 , 
      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, ,34000 , ,34000 ,34000 ,100 ,68000 ,34000 ,200 ,      CNY  中国元, ,34000 , , ,34000 , , ,34000 , 
**    水道光熱費(事業), , , , , , , , , ,**    水道光熱費(事業), , , , , , , , , ,**    水道光熱費(事業), ,1600 , ,1561 ,1600 ,98 ,1498 ,1600 ,94 ,**    水道光熱費(事業), ,1600 , , ,1600 , , ,1600 , 
*     6115201  事業-水道光熱費, , , , , , , , , ,*     6115201  事業-水道光熱費, , , , , , , , , ,*     6115201  事業-水道光熱費, ,1600 , ,1561 ,1600 ,98 ,1498 ,1600 ,94 ,*     6115201  事業-水道光熱費, ,1600 , , ,1600 , , ,1600 , 
