損益計算書項目,4月実績,4月計画,差異(%),5月実績,5月計画,差異(%),6月実績,6月計画,差異(%),損益計算書項目,7月実績,7月計画,差異(%),8月実績,8月計画,差異(%),9月実績,9月計画,差異(%),損益計算書項目,10月実績,10月計画,差異(%),11月実績,11月計画,差異(%),12月実績,12月計画,差異(%),損益計算書項目,1月実績,1月計画,差異(%),2月実績,2月計画,差異(%),3月実績,3月計画,差異(%)
***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,,***** 損益計算書項目合計,,,,,,,,,
****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,,****  営業費用,,,,,,,,,
***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,,***   事業費,,,,,,,,,
      CNY  中国元, , , ,4223 ,1850 ,228 , ,2000 , ,      CNY  中国元,1431 ,10370 ,14 ,1320 ,2000 ,66 ,1848 , , ,      CNY  中国元,759 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114603  事業-外出交通費,2130 ,2580 ,83 ,2615 ,2580 ,101 ,2344 ,2580 ,91 ,*     6114603  事業-外出交通費,525 ,2580 ,20 ,3907 ,2580 ,151 ,2375 ,2580 ,92 ,*     6114603  事業-外出交通費,1220 , , , , , , , , ,*     6114603  事業-外出交通費, , , , , , , , , 
      CNY  中国元,2130 ,2580 ,83 ,2615 ,2580 ,101 ,2344 ,2580 ,91 ,      CNY  中国元,525 ,2580 ,20 ,3907 ,2580 ,151 ,2375 ,2580 ,92 ,      CNY  中国元,1220 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤,1283 ,5320 ,24 ,6766 ,5320 ,127 ,2826 ,5320 ,53 ,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤,6122 ,5320 ,115 ,3786 ,5320 ,71 ,4090 ,5320 ,77 ,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤,2528 , , , , , , , , ,*     6114604  事業-出退ﾀｸｼｰ(ｼﾌﾄ勤, , , , , , , , , 
      CNY  中国元,1283 ,5320 ,24 ,6766 ,5320 ,127 ,2826 ,5320 ,53 ,      CNY  中国元,6122 ,5320 ,115 ,3786 ,5320 ,71 ,4090 ,5320 ,77 ,      CNY  中国元,2528 , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    乗務旅費(事業), ,57600 , , ,59520 , , ,57600 , ,**    乗務旅費(事業), ,59520 , , ,59520 , , ,57600 , ,**    乗務旅費(事業), , , , , , , , , ,**    乗務旅費(事業), , , , , , , , , 
*     6114706  事業-運航宿泊室料, ,57600 , , ,59520 , , ,57600 , ,*     6114706  事業-運航宿泊室料, ,59520 , , ,59520 , , ,57600 , ,*     6114706  事業-運航宿泊室料, , , , , , , , , ,*     6114706  事業-運航宿泊室料, , , , , , , , , 
      CNY  中国元, ,57600 , , ,59520 , , ,57600 , ,      CNY  中国元, ,59520 , , ,59520 , , ,57600 , ,      CNY  中国元, , , , , , , , , ,      CNY  中国元, , , , , , , , , 
**    通信費(事業),10255 ,19508 ,53 ,9612 ,19508 ,49 ,10364 ,19508 ,53 ,**    通信費(事業),8688 ,19508 ,45 ,5342 ,19508 ,27 ,10433 ,19508 ,53 ,**    通信費(事業),6998 , , , , , , , , ,**    通信費(事業), , , , , , , , , 
*     6114801  事業-通信費,10255 ,19508 ,53 ,9612 ,19508 ,49 ,10364 ,19508 ,53 ,*     6114801  事業-通信費,8688 ,19508 ,45 ,5342 ,19508 ,27 ,10433 ,19508 ,53 ,*     6114801  事業-通信費,6998 , , , , , , , , ,*     6114801  事業-通信費, , , , , , , , , 
